iter	RMSE
0	0.1525578661
1	0.1513209232
2	0.1501307735
3	0.1489151734
4	0.1478910508
5	0.1470012194
6	0.1459254312
7	0.1450484352
8	0.14407722
9	0.1432860671
10	0.142475634
11	0.1417551344
12	0.1410866348
13	0.1404614098
14	0.1397647138
15	0.1390979014
16	0.1383201287
17	0.1377215088
18	0.137191823
19	0.1367084135
20	0.1362952838
21	0.1359531522
22	0.1356304021
23	0.1350772357
24	0.1346536483
25	0.1342336515
26	0.1338525219
27	0.1334472256
28	0.1330080244
29	0.132552748
30	0.1321770123
31	0.1319265868
32	0.1314791175
33	0.1311599512
34	0.13076357
35	0.1304539813
36	0.1301396964
37	0.1298194161
38	0.1294027379
39	0.1289695431
40	0.1287346574
41	0.1284457197
42	0.1280379616
43	0.1278118369
44	0.1274124862
45	0.1270944894
46	0.1268660992
47	0.1265293593
48	0.1262722966
49	0.1258674016
50	0.1256399884
51	0.1253727306
52	0.1250357048
53	0.1246764021
54	0.124479553
55	0.12410954
56	0.1238657541
57	0.1236635954
58	0.1234288565
59	0.1231937452
60	0.1228808467
61	0.1226427098
62	0.1224904572
63	0.1222664144
64	0.1220755188
65	0.1217104252
66	0.1213182547
67	0.1211443238
68	0.1209328913
69	0.1206461676
70	0.1204750528
71	0.1202522552
72	0.1200874601
73	0.119811325
74	0.1196542057
75	0.1195186016
76	0.1193134447
77	0.1192014582
78	0.1189739392
79	0.1187729316
80	0.1184784074
81	0.1183213928
82	0.1181207401
83	0.1179078515
84	0.1177735037
85	0.1176166498
86	0.1172701754
87	0.117093175
88	0.1169461826
89	0.116755932
90	0.1165654066
91	0.1164146542
92	0.1162979243
93	0.1160635884
94	0.115867479
95	0.115669154
96	0.1155750004
97	0.1154137049
98	0.1152165312
99	0.1150505461
100	0.1148948552
101	0.1147933766
102	0.1145898547
103	0.1143629298
104	0.1141386643
105	0.1139266639
106	0.1137524704
107	0.1134944603
108	0.1133026308
109	0.1131262227
110	0.1130054922
111	0.1128865717
112	0.1127297953
113	0.1125246179
114	0.1123136362
115	0.1120015477
116	0.1118567338
117	0.1116572538
118	0.1114175129
119	0.1112557294
120	0.1111022175
121	0.1109810026
122	0.1108309513
123	0.1107230979
124	0.11055657
125	0.1104480746
126	0.1103087202
127	0.1101435895
128	0.1099879825
129	0.1097025402
130	0.1096136901
131	0.1094646821
132	0.1092567406
133	0.1091051568
134	0.1089156039
135	0.1087836237
136	0.1086314435
137	0.1085008087
138	0.1083313531
139	0.1082370376
140	0.1081009702
141	0.1079977582
142	0.1078033308
143	0.1077072086
144	0.1075503906
145	0.1074139057
146	0.1072865709
147	0.1071845472
148	0.1070307312
149	0.1068334984
150	0.106750737
151	0.1066544465
152	0.1065242025
153	0.1064343009
154	0.1063387934
155	0.1062157916
156	0.1060519569
157	0.1059484508
158	0.1057868453
159	0.1056022622
160	0.1054620209
161	0.105246809
162	0.1051599538
163	0.1049557598
164	0.1047981759
165	0.1046347034
166	0.1044003825
167	0.1043149844
168	0.1042608589
169	0.1040385864
170	0.1039318496
171	0.1037149057
172	0.103582783
173	0.103405189
174	0.1032592538
175	0.103057399
176	0.1028838168
177	0.1028054662
178	0.1026392709
179	0.1025179437
180	0.1023524588
181	0.1021644559
182	0.1019851252
183	0.1018806893
184	0.1017387007
185	0.1016405656
186	0.1015051599
187	0.1013645049
188	0.1012567415
189	0.1011887783
190	0.1011034322
191	0.100987108
192	0.1008506013
193	0.1007547355
194	0.100666306
195	0.1004762208
196	0.100315361
197	0.1001228681
198	0.1000143174
199	0.0998502992
200	0.09974287502
201	0.09960591029
202	0.09948890741
203	0.09929917279
204	0.09925753579
205	0.09908640025
206	0.09903293082
207	0.09898013932
208	0.09889458651
209	0.09884120358
210	0.09879700867
211	0.09865389658
212	0.09842979417
213	0.09833142908
214	0.09819214289
215	0.09811040471
216	0.09791007087
217	0.09786926575
218	0.0977687088
219	0.09765687459
220	0.09758361007
221	0.09743369728
222	0.09725599154
223	0.09713827823
224	0.09698555249
225	0.09690354663
226	0.09672492849
227	0.09661974325
228	0.09653063282
229	0.09646455266
230	0.09633103226
231	0.096166847
232	0.096124801
233	0.09604223748
234	0.09584550438
235	0.09569257753
236	0.0955777707
237	0.09545474035
238	0.09539161622
239	0.09521940604
240	0.09518477125
241	0.09512236052
242	0.09500068822
243	0.09486145817
244	0.09478256077
245	0.09456696969
246	0.09440597982
247	0.09427484961
248	0.09416762453
249	0.09406239955
250	0.09403554063
251	0.0939863174
252	0.09390579385
253	0.09383107041
254	0.09375458637
255	0.09364857142
256	0.09350580778
257	0.09343033979
258	0.09334621993
259	0.09323641288
260	0.09317989493
261	0.09309883421
262	0.09290300064
263	0.09286967382
264	0.09273185069
265	0.09263174774
266	0.09260568309
267	0.09253923844
268	0.09244610958
269	0.09229066979
270	0.0921791135
271	0.09203520051
272	0.09193827718
273	0.09176296851
274	0.09162483059
275	0.09148899912
276	0.09140634265
277	0.09121595499
278	0.09112182243
279	0.09098929971
280	0.09088696316
281	0.09079936391
282	0.09074522199
283	0.09062888869
284	0.09054356048
285	0.09047842561
286	0.09040329249
287	0.09036291914
288	0.09029585402
289	0.0901539842
290	0.09007282963
291	0.09001373109
292	0.0899641614
293	0.08989259438
294	0.08973180814
295	0.08964903538
296	0.08957805452
297	0.08950934614
298	0.08944997386
299	0.08933025208
